path,stem,title,link,slug,category_title,category_slug,source_type,length,matched_categories,preview
llm-wikid\raw\ideas\赚钱想法\生图变现\生图用#赚钱-https---github.com-YouMind-OpenLab-ai-image-prompts-skill GitHub - YouMind-OpenLab-ai-imag....md,生图用#赚钱-https---github.com-YouMind-OpenLab-ai-image-prompts-skill GitHub - YouMind-OpenLab-ai-imag...,"GitHub - YouMind-OpenLab/ai-image-prompts-skill: AI Image Prompts — 10,000+ curated prompts for any model. Works with Nano Banana Pro, Nano Banana 2, Seedream 5.0, GPT Image 1.5, Midjourney, DALL-E, Flux, Stable Diffusion, and more.",[[生图用#赚钱-https---github.com-YouMind-OpenLab-ai-image-prompts-skill GitHub - YouMind-OpenLab-ai-imag...]],生图用-赚钱-https-github-com-youmind-openlab-ai-image-prompts-skill-github-youmind-op,AI for Research,ai_for_research,notes,5984,AI for Research; Career and Business Ideas; Maize Genetic Transformation,"GitHub - YouMind-OpenLab/ai-image-prompts-skill: AI Image Prompts — 10,000+ curated prompts for any model. Works with Nano Banana Pro, Nano Banana 2, Seedream 5.0, GPT Image 1.5, Midjourney, DALL-E, Flux, Stable Diffusio"
llm-wikid\raw\articles\科研\植物抗逆\耐旱\ “以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制.md, “以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制,“以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制,[[ “以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制]],以菌抗旱-中国科学院在-science-旗下期刊发表研究论文-阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制,Bioinformatics Analysis,bioinformatics_analysis,article,3660,Bioinformatics Analysis; Plant Stress Resilience; AI for Research; Career and Business Ideas; Maize Yield and Breeding; Research Tools and Methods,“以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzIyODUxNzA1NQ==&mid=2247637704&idx=2&sn=fae36fc7f6be5dac65f92f7f852d8e32&chksm=e9bd4fce8557deee72021ef7f143c
llm-wikid\raw\articles\科研\科研工具\了解-可能用到\引言植物生长于复杂且异质的土壤环境中，根系必须完成锚定植株、吸收水分和养分以及应对环境胁迫等多重任务。 Science 重磅！西北农林团队成果改写教科书！拓展植物向性理论框架，揭示一种此前未知的....md,引言植物生长于复杂且异质的土壤环境中，根系必须完成锚定植株、吸收水分和养分以及应对环境胁迫等多重任务。 Science 重磅！西北农林团队成果改写教科书！拓展植物向性理论框架，揭示一种此前未知的...,Science 重磅！西北农林团队成果改写教科书！拓展植物向性理论框架，揭示一种此前未知的微生物–土壤–植物间通讯形式,[[引言植物生长于复杂且异质的土壤环境中，根系必须完成锚定植株、吸收水分和养分以及应对环境胁迫等多重任务。 Science 重磅！西北农林团队成果改写教科书！拓展植物向性理论框架，揭示一种此前未知的...]],引言植物生长于复杂且异质的土壤环境中-根系必须完成锚定植株-吸收水分和养分以及应对环境胁迫等多重任务-science-重磅-西北农林团队成果改写教科书-拓展植物,Bioinformatics Analysis,bioinformatics_analysis,article,2373,Bioinformatics Analysis; Plant Phenotyping and Imaging; Research Tools and Methods,Science 重磅！西北农林团队成果改写教科书！拓展植物向性理论框架，揭示一种此前未知的微生物–土壤–植物间通讯形式 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=Mzg4MTgyNjU0NA==&mid=2247496464&idx=1&sn=cfbd3c1aeb5b8c395a070535b23e309a&chksm=ce5f319a67ceefb4ae3979ee2d16ba
llm-wikid\raw\articles\科研\科研工具\生信工具\WGCNA、基因功能模块网络图及bulk转录组虚拟敲除代码自取.md,WGCNA、基因功能模块网络图及bulk转录组虚拟敲除代码自取,WGCNA、基因功能模块网络图及bulk转录组虚拟敲除代码自取,[[WGCNA、基因功能模块网络图及bulk转录组虚拟敲除代码自取]],wgcna-基因功能模块网络图及bulk转录组虚拟敲除代码自取,Bioinformatics Analysis,bioinformatics_analysis,article,2179,Bioinformatics Analysis; Research Tools and Methods; Career and Business Ideas,公众号名称：AgriPulse 作者名称：橙君 发布时间：2026-06-30 00:00 ![[llm-wikid/raw/assets/images/5f5f529ee3628e7e98fd8632f8032592_MD5.png||112]] ![[llm-wikid/raw/assets/images/33cb7ca072089c19dcfa2da912c60924_MD5.png||280]] ![[llm-wikid/raw
llm-wikid\raw\articles\科研\科研工具\生信工具\Yang Lab.md,Yang Lab,Convert MACH dosage data to PLINK binary PED format,[[Yang Lab]],yang-lab,Bioinformatics Analysis,bioinformatics_analysis,notes,218307,Bioinformatics Analysis; AI for Research; Research Tools and Methods,Overview --- About GCTA (Genome-wide Complex Trait Analysis) is a software package initially developed to estimate the proportion of phenotypic variance explained by all genome-wide SNPs for a complex trait but has been 
llm-wikid\raw\articles\科研\科研工具\生信工具\《The Plant Journal》发表拜耳与佐治亚大学团队BINN框架：嵌入通路先验的稀疏网络，训练整合多组学，推断仅需基因型。玉米数据精度显著优于GBLUP，敏感性分析可发现非线性-上位性....md,《The Plant Journal》发表拜耳与佐治亚大学团队BINN框架：嵌入通路先验的稀疏网络，训练整合多组学，推断仅需基因型。玉米数据精度显著优于GBLUP，敏感性分析可发现非线性-上位性...,The Plant Journal|拜耳&佐治亚大学团队开发BINN模型：嵌入生物学知识的神经网络，助力精准育种,[[《The Plant Journal》发表拜耳与佐治亚大学团队BINN框架：嵌入通路先验的稀疏网络，训练整合多组学，推断仅需基因型。玉米数据精度显著优于GBLUP，敏感性分析可发现非线性-上位性...]],the-plant-journal-发表拜耳与佐治亚大学团队binn框架-嵌入通路先验的稀疏网络-训练整合多组学-推断仅需基因型-玉米数据精度显著优于gblup,Bioinformatics Analysis,bioinformatics_analysis,article,10186,Bioinformatics Analysis; AI for Research; Maize Yield and Breeding; Research Tools and Methods; Maize Genetic Transformation; Plant Phenotyping and Imaging,The Plant Journal|拜耳&佐治亚大学团队开发BINN模型：嵌入生物学知识的神经网络，助力精准育种 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzI0MDI5NjM2NA==&mid=2247521844&idx=1&sn=9b1246039e6daa2a4876162671341cde&chksm=e81ad1416ce8d0bc321d91463dfab65bc
llm-wikid\raw\articles\科研\科研工具\生信工具\微生信-在线绘制主成分分析图（Principal component analysis，PCA）.md,微生信-在线绘制主成分分析图（Principal component analysis，PCA）,微生信-在线绘制主成分分析图（Principal component analysis，PCA）,[[微生信-在线绘制主成分分析图（Principal component analysis，PCA）]],微生信-在线绘制主成分分析图-principal-component-analysis-pca,Bioinformatics Analysis,bioinformatics_analysis,notes,4474,Bioinformatics Analysis; Maize Genetic Transformation; Research Tools and Methods,**[基础绘图](https://www.bioinformatics.com.cn/?keywords=%E5%9F%BA%E7%A1%80%E7%BB%98%E5%9B%BE)**- [饼图](https://www.bioinformatics.com.cn/?keywords=%E9%A5%BC%E5%9B%BE) - [线图](https://www.bioinformatics.com.cn/?keywords=%E7%BA
llm-wikid\raw\articles\待细分\ Vita｜打破关键瓶颈，王克剑团队实现克隆效率稳定超99%且正常结实的一系法杂交稻.md, Vita｜打破关键瓶颈，王克剑团队实现克隆效率稳定超99%且正常结实的一系法杂交稻,Vita｜打破关键瓶颈，王克剑团队实现克隆效率稳定超99%且正常结实的一系法杂交稻,[[ Vita｜打破关键瓶颈，王克剑团队实现克隆效率稳定超99%且正常结实的一系法杂交稻]],vita-打破关键瓶颈-王克剑团队实现克隆效率稳定超99-且正常结实的一系法杂交稻,Career and Business Ideas,career_and_business_ideas,article,6163,Career and Business Ideas; Research Tools and Methods; AI for Research; Bioinformatics Analysis; Maize Genetic Transformation; Maize Yield and Breeding,Vita｜打破关键瓶颈，王克剑团队实现克隆效率稳定超99%且正常结实的一系法杂交稻 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzU3ODY3MDM0NA==&mid=2247557396&idx=1&sn=059784d71b7e2c8aeeac6337ab41d415&chksm=fc8fa27b512c144c24db7e1a18dbddedead6a749a44ac631
llm-wikid\raw\articles\待细分\从除草剂到基因帝国：孟山都如何掌控下一代农业价值？ 从一瓶除草剂到一个基因帝国- 智种全球眼.md,从除草剂到基因帝国：孟山都如何掌控下一代农业价值？ 从一瓶除草剂到一个基因帝国- 智种全球眼,从一瓶除草剂到一个基因帝国| 智种全球眼,[[从除草剂到基因帝国：孟山都如何掌控下一代农业价值？ 从一瓶除草剂到一个基因帝国- 智种全球眼]],从除草剂到基因帝国-孟山都如何掌控下一代农业价值-从一瓶除草剂到一个基因帝国-智种全球眼,Career and Business Ideas,career_and_business_ideas,notes,5433,Career and Business Ideas; AI for Research,从一瓶除草剂到一个基因帝国| 智种全球眼 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzA3Mjg2MzM0MA==&mid=2653353580&idx=1&sn=1c1fc1b80cc41834966bd28b01caed48&chksm=85312eec16aae98f56f0ea8ad4a6755b6da8267d07b9db545e5be451f3f6f2edce585
llm-wikid\raw\articles\待细分\铁T12067和铁T15107不仅保留了双亲优点，还产生了良好的配合力，组配品种迅速扩张：铁391、郁青392、雷单1号、华硕807、铁研369、丰盛A8、铁3107、铁3109、铁399、铁3....md,铁T12067和铁T15107不仅保留了双亲优点，还产生了良好的配合力，组配品种迅速扩张：铁391、郁青392、雷单1号、华硕807、铁研369、丰盛A8、铁3107、铁3109、铁399、铁3...,“铁字号”  铁系是怎样炼成的,[[铁T12067和铁T15107不仅保留了双亲优点，还产生了良好的配合力，组配品种迅速扩张：铁391、郁青392、雷单1号、华硕807、铁研369、丰盛A8、铁3107、铁3109、铁399、铁3...]],铁t12067和铁t15107不仅保留了双亲优点-还产生了良好的配合力-组配品种迅速扩张-铁391-郁青392-雷单1号-华硕807-铁研369-丰盛a8-铁3,Career and Business Ideas,career_and_business_ideas,notes,4260,Career and Business Ideas; Maize Yield and Breeding; Plant Stress Resilience,“铁字号”  铁系是怎样炼成的 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=Mzg3ODAzMDk3Mw==&mid=2247488446&idx=1&sn=7aeb3805eeb9ff9a90ef5d0ff691c3b1&chksm=ce770b8f686bd40196f59a750fee19115d73a06a68d52b468666159bc344fd459a891b365b
llm-wikid\raw\ideas\赚钱想法\求职转型\生物专业找工作自救-思路打开.md,生物专业找工作自救-思路打开,生物专业找工作自救-思路打开,[[生物专业找工作自救-思路打开]],生物专业找工作自救-思路打开,Career and Business Ideas,career_and_business_ideas,notes,2084,Career and Business Ideas; Research Tools and Methods; Maize Genetic Transformation,--- image_17c3 📅 2026-06-30 09:02:44 ![[llm-wikid/raw/assets/images/a5c77273842c932d8e3c17c60cd80102_MD5.jpg|image_17c39e28fed3be318935da0dca2c2b92.jpg]] --- 08:39 实习僧 !! AppStore 举报 得物食品保健运营实习生 150-200/天 ）上海 5天/周 ①3个月 本
llm-wikid\raw\ideas\赚钱想法\视觉网站\用Codex设计视觉网站做造景推广.md,用Codex设计视觉网站做造景推广,Excalidraw Data,[[用Codex设计视觉网站做造景推广]],用codex设计视觉网站做造景推广,Career and Business Ideas,career_and_business_ideas,notes,2143,Career and Business Ideas; AI for Research,==⚠  Switch to EXCALIDRAW VIEW in the MORE OPTIONS menu of this document. ⚠== You can decompress Drawing data with the command palette: 'Decompress current Excalidraw file'. For more info check in plugin settings under '
llm-wikid\raw\articles\股票\前沿消息\AI数据中心买光内存，手机电脑涨价潮开始.md,AI数据中心买光内存，手机电脑涨价潮开始,AI数据中心买光内存，手机电脑涨价潮开始,[[AI数据中心买光内存，手机电脑涨价潮开始]],ai数据中心买光内存-手机电脑涨价潮开始,Finance and Investment,finance_and_investment,notes,4681,Finance and Investment; AI for Research; Career and Business Ideas,公众号名称：DeepTech深科技 作者名称：胡巍巍 发布时间：2026-06-26 17:36 ![[llm-wikid/raw/assets/images/f94c32146c33a2bcf54f41e28957a735_MD5.png]] 近日，一向克制的苹果 CEO 库克用了一个十分少见的词：百年一遇。他在几天前接受《华尔街日报》采访时说 2026 年这场内存短缺的规模之大，是他干了 40 多年从没见过的。虽然苹果一直在努力消化
llm-wikid\raw\articles\股票\前沿消息\大改革 减少一次性大额融资对市场扰动！证监会征求意见，优化再融资制度.md,大改革 减少一次性大额融资对市场扰动！证监会征求意见，优化再融资制度,减少一次性大额融资对市场扰动！证监会征求意见，优化再融资制度,[[大改革 减少一次性大额融资对市场扰动！证监会征求意见，优化再融资制度]],大改革-减少一次性大额融资对市场扰动-证监会征求意见-优化再融资制度,Finance and Investment,finance_and_investment,notes,2689,Finance and Investment; Career and Business Ideas,减少一次性大额融资对市场扰动！证监会征求意见，优化再融资制度 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MjM5NDEzMTAwMA==&mid=2652687641&idx=1&sn=ed51541104acbb97633966894a6890e5&chksm=bc63714e359e064003e8796a01ce9be886e1f90df59f185479e94e467cf
llm-wikid\raw\articles\股票\前沿消息\很精彩的抱团剖析 A股四次抱团行情的启示.md,很精彩的抱团剖析 A股四次抱团行情的启示,A股四次抱团行情的启示,[[很精彩的抱团剖析 A股四次抱团行情的启示]],很精彩的抱团剖析-a股四次抱团行情的启示,Finance and Investment,finance_and_investment,notes,19046,Finance and Investment,A股四次抱团行情的启示 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=Mzg3NzYwMzU1MQ==&mid=2247589442&idx=1&sn=494feb8e757e89e489712f15b5373bde&chksm=cee58875e2545d324577802227ff26397c3c867146cf7f2c3a2ea4e388de2b9d96a253af2b5f&m
llm-wikid\raw\articles\股票\前沿消息\股票大调整 5%调至10%！A股重大调整！下周一，正式实施.md,股票大调整 5%调至10%！A股重大调整！下周一，正式实施,5%调至10%！A股重大调整！下周一，正式实施,[[股票大调整 5%调至10%！A股重大调整！下周一，正式实施]],股票大调整-5-调至10-a股重大调整-下周一-正式实施,Finance and Investment,finance_and_investment,notes,3840,Finance and Investment; AI for Research,5%调至10%！A股重大调整！下周一，正式实施 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzA3NjM5MjIwOQ==&mid=2652271417&idx=1&sn=6091a21a7e78b99a970e9db8da88bf46&chksm=85e6c2c755977759d93a3cabf3a0013afcd77e214a4144ae34b921d3349e78fc9e
llm-wikid\raw\articles\股票\大牛博主学思路\对于两融余额的解读.md,对于两融余额的解读,对于两融余额的解读,[[对于两融余额的解读]],对于两融余额的解读,Finance and Investment,finance_and_investment,notes,1338,Finance and Investment,公众号名称：全能的野人干货记录 作者名称：野人哥粉 发布时间：2026-06-29 08:18 跟粉丝说一下两融余额，很多粉丝问怎么看两融余额，我这里讲我自己的理解力，就是两融余额现在已经达到了3万亿，也就是说我们现在每天成交量3.6万3.7万亿，这种里面两融是占很大一部分。 两融我记得去年的时候是到了2.7万亿的时候，市场来了一波大调整之后，今年又稳步又到了3万亿，3万亿的年融余额是比较高的，确实是比较高的。 所以我再给你讲一下流向，
llm-wikid\raw\articles\股票\大牛博主学思路\股民就如一味中药，熬一熬发现更苦#金融#财经#股民#股市#男人要想混得好头发必须往后倒.md,股民就如一味中药，熬一熬发现更苦#金融#财经#股民#股市#男人要想混得好头发必须往后倒,股民就如一味中药，熬一熬发现更苦#金融#财经#股民#股市#男人要想混得好头发必须往后倒,[[股民就如一味中药，熬一熬发现更苦#金融#财经#股民#股市#男人要想混得好头发必须往后倒]],股民就如一味中药-熬一熬发现更苦-金融-财经-股民-股市-男人要想混得好头发必须往后倒,Finance and Investment,finance_and_investment,notes,1251,Finance and Investment; Life and Health,**作者：**全能的野人 核心观点 周末市场上出现了许多与科技相关的利好消息，几乎看不到明显利空。因此，不少股民、宝妈宝爸以及关注者可能会期待“明天会更好”。 ![[llm-wikid/raw/assets/images/0588c9a43c73cbc0842746f4f4012a43_MD5.jpg|视频中关于周末科技利好与股民心态的画面]] 视频中关于周末科技利好与股民心态的画面 对股民心态的调侃 作者用幽默的方式提醒：股市中的“明
llm-wikid\raw\articles\股票\大牛博主学思路\解读猫笔刀（招财大牛猫）、刘备教授、林奇等大V文章，穿插价值投资思想 刘备教授：下半年布局展望.md,解读猫笔刀（招财大牛猫）、刘备教授、林奇等大V文章，穿插价值投资思想 刘备教授：下半年布局展望,刘备教授：下半年布局展望,[[解读猫笔刀（招财大牛猫）、刘备教授、林奇等大V文章，穿插价值投资思想 刘备教授：下半年布局展望]],解读猫笔刀-招财大牛猫-刘备教授-林奇等大v文章-穿插价值投资思想-刘备教授-下半年布局展望,Finance and Investment,finance_and_investment,notes,2741,Finance and Investment; AI for Research; Career and Business Ideas,刘备教授：下半年布局展望 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzAwOTI0MTQyNg==&mid=2247484630&idx=1&sn=8e494fd74b512cddbe63a570d6d8f58b&chksm=9a2806340032a137c45e32a4f823a4adf9e1f6fc16de38aadd349977ad7bff4afab77c5828b1&
llm-wikid\raw\articles\股票\每日盘前消息记录\ 7月3日盘前干货.md, 7月3日盘前干货,7月3日盘前干货,[[ 7月3日盘前干货]],7月3日盘前干货,Finance and Investment,finance_and_investment,notes,2881,Finance and Investment; AI for Research; Career and Business Ideas; Life and Health,7月3日盘前干货 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzI4NDEzMDk0OQ==&mid=2650556945&idx=1&sn=1968363796ab34d33934ce5714b6f450&chksm=f2d6bb4602c9bdee8371c4b1772e24849e44491bea171d58a9a8880695a2853857bf3015d190&mpsh
llm-wikid\raw\articles\待细分\从“知道病因”到“检测患者”——我们如何用PCR确定谁携带致病突变？在上一期中，我们学习了基因组中各种各样的DNA变异。 第48期：12.2 已知致病突变的基因分型.md,从“知道病因”到“检测患者”——我们如何用PCR确定谁携带致病突变？在上一期中，我们学习了基因组中各种各样的DNA变异。 第48期：12.2 已知致病突变的基因分型,第48期：12.2 已知致病突变的基因分型,[[从“知道病因”到“检测患者”——我们如何用PCR确定谁携带致病突变？在上一期中，我们学习了基因组中各种各样的DNA变异。 第48期：12.2 已知致病突变的基因分型]],从-知道病因-到-检测患者-我们如何用pcr确定谁携带致病突变-在上一期中-我们学习了基因组中各种各样的dna变异-第48期-12-2-已知致病突变的基因分型,Life and Health,life_and_health,notes,7304,Life and Health; Maize Genetic Transformation; Plant Stress Resilience,第48期：12.2 已知致病突变的基因分型 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzkxNTI5MzI0MA==&mid=2247484898&idx=1&sn=d2c6986dbb3e035ef96d818788ac9d42&chksm=c0b01227fd15276d2a7e59529f0252005258431d9bf756986afd5330f6e1aa6d1d01
llm-wikid\raw\articles\生活\健康知识\朱健康院士等综述植物非生物胁迫信号转导 【Nature综述】朱健康院士等综述植物非生物胁迫信号转导，为培育抗逆作物提供思路（全文翻译，值得收藏）.md,朱健康院士等综述植物非生物胁迫信号转导 【Nature综述】朱健康院士等综述植物非生物胁迫信号转导，为培育抗逆作物提供思路（全文翻译，值得收藏）,【Nature综述】朱健康院士等综述植物非生物胁迫信号转导，为培育抗逆作物提供思路（全文翻译，值得收藏）,[[朱健康院士等综述植物非生物胁迫信号转导 【Nature综述】朱健康院士等综述植物非生物胁迫信号转导，为培育抗逆作物提供思路（全文翻译，值得收藏）]],朱健康院士等综述植物非生物胁迫信号转导-nature综述-朱健康院士等综述植物非生物胁迫信号转导-为培育抗逆作物提供思路-全文翻译-值得收藏,Life and Health,life_and_health,article,11328,Life and Health; Maize Genetic Transformation; Plant Phenotyping and Imaging; Research Tools and Methods; Maize Yield and Breeding; Plant Stress Resilience,【Nature综述】朱健康院士等综述植物非生物胁迫信号转导，为培育抗逆作物提供思路（全文翻译，值得收藏） 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzUzNzczODE4Mg==&mid=2247614496&idx=1&sn=ecb87fad229c46c72cf3ba9d199178a0&chksm=fbed85d08beb8c7a36e19075300c2e3f2c24c
llm-wikid\raw\articles\生活\健康育儿\周四提醒小宝打疫苗 乙肝疫苗接下来怎么接种？你想了解的都在这了！.md,周四提醒小宝打疫苗 乙肝疫苗接下来怎么接种？你想了解的都在这了！,乙肝疫苗接下来怎么接种？你想了解的都在这了！,[[周四提醒小宝打疫苗 乙肝疫苗接下来怎么接种？你想了解的都在这了！]],周四提醒小宝打疫苗-乙肝疫苗接下来怎么接种-你想了解的都在这了,Life and Health,life_and_health,notes,1505,Life and Health,乙肝疫苗接下来怎么接种？你想了解的都在这了！ 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzU2MTAwNjE3NQ==&mid=2247490068&idx=1&sn=093f5036a5cd5efb6a4aaf26f7d3465c&chksm=fdd55e26fb45ddee4bfcada9c0bf430c7024de184a999388a17946a16ee63cd4f35
llm-wikid\raw\articles\待细分\企微文档转 Markdown 26甘肃夏播花期记录电子表 XHZ 1069-1210.md,企微文档转 Markdown 26甘肃夏播花期记录电子表 XHZ 1069-1210,26甘肃夏播花期记录电子表 XHZ 1069-1210,[[企微文档转 Markdown 26甘肃夏播花期记录电子表 XHZ 1069-1210]],企微文档转-markdown-26甘肃夏播花期记录电子表-xhz-1069-1210,Maize Genetic Transformation,maize_genetic_transformation,notes,206346,Maize Genetic Transformation,26甘肃夏播花期记录电子表 XHZ 1069-1210 笔记同步助手 来源 [原文链接](https://media30d.clipfx.app/wecom4/2026/07/dce3e1f5a3634018f15c604c40b30c71e5bbadf897d431fb060809a442d80b7e) 正文 | 行号              |   抽雄 |   吐丝 |   散粉 |   株高 |   穗位高 | CAS9   
llm-wikid\raw\articles\科研\玉米遗传转化\ PBJ  - 先正达团队开发LbCas12a介导的高效玉米HI-Edit技术体系，可用于商业化品种基因编辑.md, PBJ  - 先正达团队开发LbCas12a介导的高效玉米HI-Edit技术体系，可用于商业化品种基因编辑,PBJ  | 先正达团队开发LbCas12a介导的高效玉米HI-Edit技术体系，可用于商业化品种基因编辑,[[ PBJ  - 先正达团队开发LbCas12a介导的高效玉米HI-Edit技术体系，可用于商业化品种基因编辑]],pbj-先正达团队开发lbcas12a介导的高效玉米hi-edit技术体系-可用于商业化品种基因编辑,Maize Genetic Transformation,maize_genetic_transformation,article,8588,Maize Genetic Transformation; Maize Yield and Breeding; Career and Business Ideas; Bioinformatics Analysis; Research Tools and Methods; AI for Research,PBJ  | 先正达团队开发LbCas12a介导的高效玉米HI-Edit技术体系，可用于商业化品种基因编辑 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=Mzg3MDEwNDEyMg==&mid=2247612247&idx=2&sn=562b199c4658237ed9356c161e4e035d&chksm=cf4f84bba5c03d0af16425f89fb75300e3a2
llm-wikid\raw\articles\科研\玉米遗传转化\ 《作物学报》-中国农业科学院作物科学研究所谢传晓团队综述：基因编辑技术创制玉米紧凑新种质的研究进展.md, 《作物学报》-中国农业科学院作物科学研究所谢传晓团队综述：基因编辑技术创制玉米紧凑新种质的研究进展,《作物学报》|中国农业科学院作物科学研究所谢传晓团队综述：基因编辑技术创制玉米紧凑新种质的研究进展,[[ 《作物学报》-中国农业科学院作物科学研究所谢传晓团队综述：基因编辑技术创制玉米紧凑新种质的研究进展]],作物学报-中国农业科学院作物科学研究所谢传晓团队综述-基因编辑技术创制玉米紧凑新种质的研究进展,Maize Genetic Transformation,maize_genetic_transformation,article,11795,Maize Genetic Transformation; Maize Yield and Breeding; Research Tools and Methods; Bioinformatics Analysis; Plant Phenotyping and Imaging,《作物学报》|中国农业科学院作物科学研究所谢传晓团队综述：基因编辑技术创制玉米紧凑新种质的研究进展 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzAxNzYzMzMyNg==&mid=2655712155&idx=1&sn=2248fec90e0845451a111adbf133bc5b&chksm=8125f65602646042e09044462fe854f293dbb44a
llm-wikid\raw\articles\科研\玉米遗传转化\BioRxiv重磅- AI重新设计蛋白，造出能把大片段DNA精准“装进基因组”的NovoCAST.md,BioRxiv重磅- AI重新设计蛋白，造出能把大片段DNA精准“装进基因组”的NovoCAST,BioRxiv重磅- AI重新设计蛋白，造出能把大片段DNA精准“装进基因组”的NovoCAST,[[BioRxiv重磅- AI重新设计蛋白，造出能把大片段DNA精准“装进基因组”的NovoCAST]],biorxiv重磅-ai重新设计蛋白-造出能把大片段dna精准-装进基因组-的novocast,Maize Genetic Transformation,maize_genetic_transformation,article,9340,Maize Genetic Transformation; Bioinformatics Analysis; Maize Yield and Breeding; Research Tools and Methods; AI for Research; Career and Business Ideas,公众号名称：植物基因编辑入门 作者名称：Ming 发布时间：2026-06-17 09:08 原文链接：[https://www.biorxiv.org/content/10.64898/2026.05.29.728539v1.full.pdf](https://www.biorxiv.org/content/10.64898/2026.05.29.728539v1.full.pdf) 本文转载自以下公众号: 过去十多年，CRISPR几
llm-wikid\raw\articles\科研\玉米遗传转化\CRISPR-Combo突破多年生植物再生瓶颈 Nature Communications｜CRISPR-Combo在马铃薯、柑橘、草莓和杨树中实现高效再生与编辑.md,CRISPR-Combo突破多年生植物再生瓶颈 Nature Communications｜CRISPR-Combo在马铃薯、柑橘、草莓和杨树中实现高效再生与编辑,Nature Communications｜CRISPR-Combo在马铃薯、柑橘、草莓和杨树中实现高效再生与编辑,[[CRISPR-Combo突破多年生植物再生瓶颈 Nature Communications｜CRISPR-Combo在马铃薯、柑橘、草莓和杨树中实现高效再生与编辑]],crispr-combo突破多年生植物再生瓶颈-nature-communications-crispr-combo在马铃薯-柑橘-草莓和杨树中实现高效再生与编,Maize Genetic Transformation,maize_genetic_transformation,article,7692,Maize Genetic Transformation; Maize Yield and Breeding; Research Tools and Methods; Bioinformatics Analysis; Career and Business Ideas,Nature Communications｜CRISPR-Combo在马铃薯、柑橘、草莓和杨树中实现高效再生与编辑 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzYzNTg5MzIxMQ==&mid=2247489820&idx=1&sn=b1659cb899e57e32d3da38fcd5c95daf&chksm=f11ec7fed2e80ff8440ac007e9a47d62
llm-wikid\raw\articles\科研\玉米遗传转化\玉米转化率痛点剖析 植物遗传转化与CRISPR-Cas编辑技术优化：顽拗型玉米转化攻关策略（PhD Thesis）.md,玉米转化率痛点剖析 植物遗传转化与CRISPR-Cas编辑技术优化：顽拗型玉米转化攻关策略（PhD Thesis）,植物遗传转化与CRISPR/Cas编辑技术优化：顽拗型玉米转化攻关策略（PhD Thesis）,[[玉米转化率痛点剖析 植物遗传转化与CRISPR-Cas编辑技术优化：顽拗型玉米转化攻关策略（PhD Thesis）]],玉米转化率痛点剖析-植物遗传转化与crispr-cas编辑技术优化-顽拗型玉米转化攻关策略-phd-thesis,Maize Genetic Transformation,maize_genetic_transformation,article,14511,Maize Genetic Transformation; Maize Yield and Breeding; Bioinformatics Analysis; Career and Business Ideas; Plant Phenotyping and Imaging; Plant Stress Resilience; Research Tools and Methods,植物遗传转化与CRISPR/Cas编辑技术优化：顽拗型玉米转化攻关策略（PhD Thesis） 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=Mzk0NDc0NjQxMA==&mid=2247491999&idx=2&sn=1d74a8a9bca2adae7646dfc072e69715&chksm=c26d33a8caac8e0b3787fdeff3b228dab1bbd49024
